compound_form,compound_form_normalized,PhoneticVersion_Compound,reading_status,reading_source,nested_in_forms,component_reading_inferred
|IM.A.AN|,IM.A.AN,šeg₁₄|šeŋ₁₄,ATTESTED_DIRECT,OSL,,adad-'u4-/dimer/
|IM.A.A|,IM.A.A,šegₓ|šeŋₓ,ATTESTED_DIRECT,OSL,,adad-'u4-'u4
|IM.A|,IM.A,šegₓ|šeŋₓ,ATTESTED_DIRECT,OSL,,adad-'u4
|IM.DUB₂|,IM.DUB2,šerkan,ATTESTED_DIRECT,OSL,,adad-dim5
|IM.DUGUD|,IM.DUGUD,agar₆|aŋar₆|muru₉,ATTESTED_DIRECT,OSL,,adad-dugud
|IM.DUN.DUN₃@g@g|,IM.DUN.DUN3@g@g,suhul₃,ATTESTED_DIRECT,OSL,,adad-du24-aga
|IM.DUN₃@g@g.DUN|,IM.DUN3@g@g.DUN,suhul₂,ATTESTED_DIRECT,OSL,,adad-aga-du24
|IM.GAN₂.HI×NUN.ME.U|,IM.GAN2.HI×NUN.ME.U,uluba|ulubar|ulumaš,ATTESTED_DIRECT,OSL,,adad-al3-a'2-ba13-1u
|IM.HI×NUN.ME.U.GAN₂|,IM.HI×NUN.ME.U.GAN2,uluba₂|ulubar₂|ulumaš₂,ATTESTED_DIRECT,OSL,,adad-a'2-ba13-1u-al3
|IM.KAD₃|,IM.KAD3,tuk₈,ATTESTED_DIRECT,OSL,,adad-gat3
|IM.LAK648|,IM.LAK648,ulu₃,ATTESTED_DIRECT,OSL,,
|IM.MI|,IM.MI,,NESTED_IN_LONGER_FORM,,AN.IM.MI,adad-dugud2
|IM.NE|,IM.NE,,NO_ATTESTED_READING,,,adad-bar7
|IM.NI.UD|,IM.NI.UD,enaqa,ATTESTED_DIRECT,OSL,,adad-atumx(
|IM.SI.A|,IM.SI.A,duggu|dungaₓ|dungu,ATTESTED_DIRECT,OSL,,adad-hux(si)-'u4
|IM.SI|,IM.SI,dunguₓ,ATTESTED_DIRECT,OSL,,adad-hux(si)
|IM.TAK₄|,IM.TAK4,kid₇,ATTESTED_DIRECT,DIRI,,adad-azad2
|IM.UD|,IM.UD,sidar,ATTESTED_DIRECT,OSL,,adad-a12
|IM.ŠITA|,IM.ŠITA,dalhamun,ATTESTED_DIRECT,OSL,,adad-ešda3
|IM.ŠU₂|,IM.ŠU2,šu₁₇|uh₆,ATTESTED_DIRECT,OSL,,adad-ešša2
|IR.MUŠ.HA.DIN.BALAG|,IR.MUŠ.HA.DIN.BALAG,,NO_ATTESTED_READING,,,er-imdudu-'a4-dan5-balag
|IŠ.A.SUD|,IŠ.A.SUD,imₓ,ATTESTED_DIRECT,OSL,,es₅-'u4-sar4
|IŠ.URUDA|,IŠ.URUDA,samannu|samanur|šamanur|šašamanur|šeknu|šem₇|šen₅,ATTESTED_DIRECT,OSL,,es₅-da5
|KA&KA|,KA&KA,,NO_ATTESTED_READING,,,/eneĝ/-/eneĝ/
|KA.AD.KU₃|,KA.AD.KU3,,NO_ATTESTED_READING,,,/eneĝ/-ab3-ku3
|KA.AN.NI.SI|,KA.AN.NI.SI,kurku₂,ATTESTED_DIRECT,OSL,,/eneĝ/-/dimer/-be3-hux(si)
|KA.BALAG.GA₂.TE.A.DU@s.ZA.NA|,KA.BALAG.GA2.TE.A.DU@s.ZA.NA,bizaza,ATTESTED_DIRECT,OSL,,/eneĝ/-balag-alba-de4-'u4-barim-sa3-aniku
|KA.BAR|,KA.BAR,,NESTED_IN_LONGER_FORM,,UD.KA.BAR,/eneĝ/-ba15
|KA.DI|,KA.DI,ištaran,ATTESTED_DIRECT,OSL,,/eneĝ/-de
|KA.EŠ₂|,KA.EŠ2,eškiriₓ,ATTESTED_DIRECT,OSL,,/eneĝ/-ege
|KA.GAR|,KA.GAR,,NO_ATTESTED_READING,,,/eneĝ/-ga4
|KA.GIŠ%GIŠ|,KA.GIŠ%GIŠ,,NO_ATTESTED_READING,,,/eneĝ/-adamen₃
|KA.HI.GA|,KA.HI.GA,munₓ|ummaₓ,ATTESTED_DIRECT,OSL,,/eneĝ/-'i3-ebir4
|KA.HI|,KA.HI,dema|demma|demmu|demu|dima|dimma|dimmu|dimu|%akk/n ṭēmu,ATTESTED_DIRECT,OSL,,/eneĝ/-'i3
|KA.IM|,KA.IM,,NO_ATTESTED_READING,,,/eneĝ/-adad
|KA.KAK|,KA.KAK,gug₆|pihu₃,ATTESTED_DIRECT,OSL,,/eneĝ/-ban4
|KA.KAL|,KA.KAL,sigₓ,ATTESTED_DIRECT,OSL,,/eneĝ/-alad2
|KA.KA|,KA.KA,duṭu,ATTESTED_DIRECT,OSL,,/eneĝ/-/eneĝ/
|KA.LI|,KA.LI,,NO_ATTESTED_READING,,,/eneĝ/-en3
|KA.LUM|,KA.LUM,,NO_ATTESTED_READING,,,/eneĝ/-egir5
|KA.ME|,KA.ME,,NO_ATTESTED_READING,,,/eneĝ/-ba13
|KA.NE|,KA.NE,,NO_ATTESTED_READING,,,/eneĝ/-bar7
|KA.NUN|,KA.NUN,,NO_ATTESTED_READING,,,/eneĝ/-...ri
|KA.SAR|,KA.SAR,,NO_ATTESTED_READING,,,/eneĝ/-kiri6
|KA.TAR|,KA.TAR,,NO_ATTESTED_READING,,,/eneĝ/-dar6
|KA.UD.AŠ|,KA.UD.AŠ,,NO_ATTESTED_READING,,,/eneĝ/-a12-1aš
|KA.UD.BAR|,KA.UD.BAR,,NO_ATTESTED_READING,,,/eneĝ/-a12-ba15
|KA.UD|,KA.UD,,NO_ATTESTED_READING,,,/eneĝ/-a12
|KA.U₂|,KA.U2,,NO_ATTESTED_READING,,,/eneĝ/-ba6
|KA.X|,KA.X,zubₓ,ATTESTED_DIRECT,OSL,,
|KA.ŠU.IG|,KA.ŠU.IG,,NO_ATTESTED_READING,,,/eneĝ/-kat7-/mal/
|KA.ŠU|,KA.ŠU,šudₓ|šuduₓ,ATTESTED_DIRECT,OSL,,/eneĝ/-kat7
|KAB.BU|,KAB.BU,gabuₓ,ATTESTED_DIRECT,OSL,,gab2-bu
|KAB.UŠ|,KAB.UŠ,ragab₃,ATTESTED_DIRECT,OSL,,gab2-geš3
|KAD₂.U.SI|,KAD2.U.SI,u₅,ATTESTED_DIRECT,OSL,,gat2-1u-hux(si)
|KAD₃.KAD₃|,KAD3.KAD3,šeššed₂,ATTESTED_DIRECT,OSL,,gat3-gat3
|KAD₄.KAD₄.KAD₅|,KAD4.KAD4.KAD5,šeššed₃,ATTESTED_DIRECT,OSL,,gešhur-gešhur-bansur3
|KAD₄.SAG|,KAD4.SAG,,NO_ATTESTED_READING,,,gešhur-dul7
|KAD₅&KAD₅.KAD₅&KAD₅|,KAD5&KAD5.KAD5&KAD5,talₓ|tilₓ,ATTESTED_DIRECT,OSL,,esirₓ-esirₓ
|KAD₅.KAD₅|,KAD5.KAD5,esir₃|šedšedₓ|tal₅|til₆,ATTESTED_DIRECT,OSL,,bansur3-bansur3
|KAK&KAK|,KAK&KAK,,NO_ATTESTED_READING,,,ban4-ban4
|KAK+DIŠ|,KAK+DIŠ,,NO_ATTESTED_READING,,,ban4-anₓ
|KAK.TAR|,KAK.TAR,kuksu₂,ATTESTED_DIRECT,OSL,,ban4-dar6
|KAL.EDIN|,KAL.EDIN,birdu|šarap,ATTESTED_DIRECT,OSL,,alad2-bilx(edin)
|KASKAL&KASKAL.DU&DU.BAD&BAD|,KASKAL&KASKAL.DU&DU.BAD&BAD,,NO_ATTESTED_READING,,,
|KASKAL.6(DIŠ)|,KASKAL.6(DIŠ),zikura,ATTESTED_DIRECT,OSL,,bu2-aš₃
|KASKAL.BU|,KASKAL.BU,dana|danna,ATTESTED_DIRECT,OSL,,bu2-bu
|KASKAL.GA|,KASKAL.GA,gaeš₂|gaiš₂|garaš₄,ATTESTED_DIRECT,OSL,,bu2-ebir4
|KASKAL.HI|,KASKAL.HI,,NESTED_IN_LONGER_FORM,,KASKAL.HI×NUN,bu2-'i3
|KASKAL.KUR|,KASKAL.KUR,alba₂|alha|baliha|dalₓ|ellat|ilba₂|ilha|illat|%akk illatu,ATTESTED_DIRECT,OSL,,bu2-amma
|KASKAL.LAGAB|,KASKAL.LAGAB,šubtu₃|šubtum₃,ATTESTED_DIRECT,OSL,,bu2-ella2
|KASKAL.LAGAB×U|,KASKAL.LAGAB×U,šubtu₅|šubtum₅,ATTESTED_DIRECT,OSL,,bu2-bu4
|KASKAL.LAGAB×X|,KASKAL.LAGAB×X,šubtumₓ,ATTESTED_DIRECT,OSL,,
|KASKAL.PA.DU|,KASKAL.PA.DU,maškimₓ,ATTESTED_DIRECT,OSL,,bu2-addirx(pa)-aragub
|KASKAL.UD@s|,KASKAL.UD@s,iti₃,ATTESTED_DIRECT,OSL,,bu2-itiₓ
|KA×A.A|,KA×A.A,pišₓ,ATTESTED_DIRECT,OSL,,emma2-'u4
|KA×AŠ|,KA×AŠ,,NESTED_IN_LONGER_FORM,,KA×AŠ2,/eneĝ/-1aš
|KA×BAL|,KA×BAL,buluₓ,ATTESTED_DIRECT,OSL,,/eneĝ/-bal
|KA×DIŠ|,KA×DIŠ,,NO_ATTESTED_READING,,,/eneĝ/-anₓ
|KA×DUB₂|,KA×DUB2,KA×DUB2,ATTESTED_DIRECT,SYLLABARY_CM,,/eneĝ/-dim5
|KA×DU|,KA×DU,,NESTED_IN_LONGER_FORM,,KA×DUB2,/eneĝ/-aragub
|KA×GA.SAG|,KA×GA.SAG,kulkul,ATTESTED_DIRECT,OSL,,ka×ga-dul7
|KA×GAN|,KA×GAN,,NESTED_IN_LONGER_FORM,,NUN.ME.KA×GAN2@t; KA×GAN2@t; KA×GAN2@t.ŠA,/eneĝ/-gam4
|KA×GAN₂|,KA×GAN2,,NESTED_IN_LONGER_FORM,,NUN.ME.KA×GAN2@t; KA×GAN2@t; KA×GAN2@t.ŠA,/eneĝ/-al3
|KA×GA₂|,KA×GA2,šeg₁₈,ATTESTED_DIRECT,OSL,,/eneĝ/-alba
|KA×GIG|,KA×GIG,,NO_ATTESTED_READING,,,/eneĝ/-ge17
|KA×KAD₃|,KA×KAD3,,NO_ATTESTED_READING,,,/eneĝ/-gat3
|KA×KU|,KA×KU,,NO_ATTESTED_READING,,,/eneĝ/-be5
|KA×LI.KA×LI|,KA×LI.KA×LI,mummun|mumun,ATTESTED_DIRECT,OSL,,gele3-gele3
|KA×MAŠ|,KA×MAŠ,kabₓ,ATTESTED_DIRECT,OSL,,/eneĝ/-ba7
|KA×MES|,KA×MES,,NO_ATTESTED_READING,,,/eneĝ/-dubx(mes)
|KA×MU.KA×MU|,KA×MU.KA×MU,,NO_ATTESTED_READING,,,
|KA×NA|,KA×NA,,NO_ATTESTED_READING,,,/eneĝ/-aniku
|KA×NI|,KA×NI,,NO_ATTESTED_READING,,,/eneĝ/-be3
|KA×NI₂|,KA×NI2,,NO_ATTESTED_READING,,,/eneĝ/-me10
|KA×RI|,KA×RI,,NO_ATTESTED_READING,,,/eneĝ/-bagx(ri)
|KA×SAL|,KA×SAL,zarahₓ,ATTESTED_DIRECT,OSL,,/eneĝ/-f
|KA×SI|,KA×SI,kurkuₓ,ATTESTED_DIRECT,OSL,,/eneĝ/-hux(si)
|KA×TAB|,KA×TAB,,NO_ATTESTED_READING,,,/eneĝ/-dab2
|KA×TAK₄|,KA×TAK4,šegₓ,ATTESTED_DIRECT,OSL,,/eneĝ/-azad2
|KA×TE|,KA×TE,emenₓ,ATTESTED_DIRECT,OSL,,/eneĝ/-de4
|KA×TIL|,KA×TIL,šegₓ,ATTESTED_DIRECT,OSL,,/eneĝ/-sumun
|KA×UD.BAR|,KA×UD.BAR,zabar₃|zibar₃,ATTESTED_DIRECT,OSL,,emma-ba15
|KA×URUDA|,KA×URUDA,,NO_ATTESTED_READING,,,/eneĝ/-da5
|KA×UZU|,KA×UZU,,NO_ATTESTED_READING,,,/eneĝ/-usux(uzu)
|KA×X.KA×X|,KA×X.KA×X,,NO_ATTESTED_READING,,,
|KA×ŠAR₂|,KA×ŠAR2,,NO_ATTESTED_READING,,,/eneĝ/-1šar2
|KA×ŠU.ŠA|,KA×ŠU.ŠA,,NO_ATTESTED_READING,,,burx(-ara
|KA×ŠU|,KA×ŠU,adabₓ|burₓ|subₓ|šeₓ|šedₓ|šegₓ|šiₓ|šu₁₂|šud₃|šude₃?|šudu₃|šušudi|ušₓ,ATTESTED_DIRECT,OSL,,/eneĝ/-kat7
|KA₂.AN.RA|,KA2.AN.RA,babila₂|babilim₂|babilima₂,ATTESTED_DIRECT,OSL,,aganx(ka2)-/dimer/-ra
|KA₂.AN|,KA2.AN,babila|babilim|babilima,ATTESTED_DIRECT,OSL,,aganx(ka2)-/dimer/
|KA₂.GAL|,KA2.GAL,abul|abula|abulla,ATTESTED_DIRECT,OSL,,aganx(ka2)-gal
|KEŠ₂×A|,KEŠ2×A,,NO_ATTESTED_READING,,,gir11-'u4
|KI.5(DIŠ)|,KI.5(DIŠ),,NO_ATTESTED_READING,,,ammax(ki)-i₂
|KI.AN.IM|,KI.AN.IM,kutra|qutra,ATTESTED_DIRECT,OSL,,ammax(ki)-/dimer/-adad
|KI.AN.UD|,KI.AN.UD,šakirₓ|šakira₂,ATTESTED_DIRECT,OSL,,ammax(ki)-/dimer/-a12
|KI.AN.ŠEŠ.KI|,KI.AN.ŠEŠ.KI,munzer|munzur|musur,ATTESTED_DIRECT,OSL,,ammax(ki)-/dimer/-ah2-ammax(ki)
|KI.AN|,KI.AN,,NESTED_IN_LONGER_FORM,,KI.AN.IM; KI.AN.UD; KI.AN.ŠEŠ.KI,ammax(ki)-/dimer/
|KI.A|,KI.A,peš₁₀|piš₁₀,ATTESTED_DIRECT,OSL,,ammax(ki)-'u4
|KI.AŠ.AŠ|,KI.AŠ.AŠ,absin|gisbun,ATTESTED_DIRECT,OSL,,ammax(ki)-1aš-1aš
|KI.BAD|,KI.BAD,garašaₓ,ATTESTED_DIRECT,OSL,,ammax(ki)-ba9
|KI.BI.KAK|,KI.BI.KAK,xgaₓ,ATTESTED_DIRECT,OSL,,ammax(ki)-be2-ban4
|KI.BI.NI|,KI.BI.NI,kibini,ATTESTED_DIRECT,OSL,,ammax(ki)-be2-be3
|KI.DIŠ.DIŠ.DIŠ|,KI.DIŠ.DIŠ.DIŠ,,NO_ATTESTED_READING,,,ammax(ki)-anₓ-anₓ-anₓ
|KI.DU.KAK|,KI.DU.KAK,šiten,ATTESTED_DIRECT,OSL,,ammax(ki)-aragub-ban4
|KI.E.NE.DI.AN.MUŠ₃|,KI.E.NE.DI.AN.MUŠ3,ešemen₂|ešemin₂,ATTESTED_DIRECT,OSL,,ammax(ki)-e-bar7-de-/dimer/-ennin
|KI.E.NE.DI|,KI.E.NE.DI,ešemen|ešemin,ATTESTED_DIRECT,OSL,,ammax(ki)-e-bar7-de
|KI.EN.KAK|,KI.EN.KAK,bur₁₁|buru₁₁|mur₆|muru₆|murum₆,ATTESTED_DIRECT,OSL,,ammax(ki)-adx(en)-ban4
|KI.GAL|,KI.GAL,sur₆,ATTESTED_DIRECT,OSL,,ammax(ki)-gal
|KI.GAR.BI|,KI.GAR.BI,,NO_ATTESTED_READING,,,ammax(ki)-ga4-be2
|KI.IB|,KI.IB,dudu|eššeb|uštuh,ATTESTED_DIRECT,OSL,,ammax(ki)-arkabx(ib)
|KI.KA.LU₂|,KI.KA.LU2,engarₓ,ATTESTED_DIRECT,OSL,,ammax(ki)-/eneĝ/-addax(lu2)
|KI.KA.SAL|,KI.KA.SAL,igiraₓ,ATTESTED_DIRECT,OSL,,ammax(ki)-/eneĝ/-f
|KI.KAK|,KI.KAK,sur₇,ATTESTED_DIRECT,OSL,,ammax(ki)-ban4
|KI.KAL.BAD.IDIM|,KI.KAL.BAD.IDIM,garašₓ|karašₓ,ATTESTED_DIRECT,OSL,,ammax(ki)-alad2-ba9-ari2
|KI.KAL.BAD|,KI.KAL.BAD,karaš|garaš₂,ATTESTED_DIRECT,DIRI,,ammax(ki)-alad2-ba9
|KI.KAL.IDIM|,KI.KAL.IDIM,garaš₂,ATTESTED_DIRECT,DIRI,,ammax(ki)-alad2-ari2
|KI.KAL|,KI.KAL,bad₄|dubad|garaš₅|hirim|hirin|hurin|kankal|karaš₂|kiŋalₓ|kikla|kislah₃|sas|uludim|uludin|ulutim|ulutin,ATTESTED_DIRECT,OSL,,ammax(ki)-alad2
|KI.KI|,KI.KI,kukku₃|utte|utu₄|uṭe,ATTESTED_DIRECT,OSL,,ammax(ki)-ammax(ki)
|KI.KU.LU₂|,KI.KU.LU2,<(...)>,ATTESTED_DIRECT,DIRI,,ammax(ki)-be5-addax(lu2)
|KI.KU.SAG|,KI.KU.SAG,zarahₓ,ATTESTED_DIRECT,OSL,,ammax(ki)-be5-dul7
|KI.KU|,KI.KU,idriₓ,ATTESTED_DIRECT,OSL,,ammax(ki)-be5
|KI.LAL|,KI.LAL,uttu₆|uṭu₆,ATTESTED_DIRECT,OSL,,ammax(ki)-la2
|KI.LAM|,KI.LAM,ganba|kalbuₓ|malba|šakaka|šakanka|xbaₓ,ATTESTED_DIRECT,OSL,,ammax(ki)-ešx(lam)
|KI.LAM×KUR|,KI.LAM×KUR,ganbaₓ,ATTESTED_DIRECT,OSL,,ammax(ki)-arad3
|KI.LIMMU|,KI.LIMMU,,NO_ATTESTED_READING,,,ammax(ki)-lammu
|KI.LU.EŠ₂.GAR.SU.GAR.RA|,KI.LU.EŠ2.GAR.SU.GAR.RA,,NO_ATTESTED_READING,,,ammax(ki)-eze-ege-ga4-guš-ga4-ra
|KI.LU.EŠ₂.GAR|,KI.LU.EŠ2.GAR,,NO_ATTESTED_READING,,,ammax(ki)-eze-ege-ga4
|KI.LU.EŠ₂|,KI.LU.EŠ2,KI.LU.EŠ2|UGNIMX(|KI.LU.EŠ2|)|ugnimx(|KI.LU.EŠ2|),ATTESTED_DIRECT,SYLLABARY_CM,,ammax(ki)-eze-ege
|KI.LUGAL|,KI.LUGAL,šitenₓ,ATTESTED_DIRECT,OSL,,ammax(ki)-bišeba
|KI.MIN|,KI.MIN,kimin|u₇,ATTESTED_DIRECT,OSL,,ammax(ki)-menx(min)
|KI.MUŠ₃@g|,KI.MUŠ3@g,kukku₄,ATTESTED_DIRECT,OSL,,ammax(ki)-muš2
|KI.NE.AN.MUŠ₃|,KI.NE.AN.MUŠ3,digbir,ATTESTED_DIRECT,OSL,,ammax(ki)-bar7-/dimer/-ennin
|KI.NE.DI|,KI.NE.DI,ešemenₓ,ATTESTED_DIRECT,OSL,,ammax(ki)-bar7-de
|KI.NE@s|,KI.NE@s,gunniₓ,ATTESTED_DIRECT,OSL,,ammax(ki)-bel₂
|KI.NI|,KI.NI,,NO_ATTESTED_READING,,,ammax(ki)-be3
|KI.SAG.DU|,KI.SAG.DU,sulumₓ|sulummar,ATTESTED_DIRECT,OSL,,ammax(ki)-dul7-aragub
|KI.SAG@n.DU|,KI.SAG@n.DU,sulummar₂,ATTESTED_DIRECT,OSL,,ammax(ki)-keš₄-aragub
|KI.SAG@n|,KI.SAG@n,kišiₓ,ATTESTED_DIRECT,OSL,,ammax(ki)-keš₄
|KI.SAG|,KI.SAG,egi₃?|igi₃?,ATTESTED_DIRECT,OSL,,ammax(ki)-dul7
|KI.SU.GAR.RA|,KI.SU.GAR.RA,,NO_ATTESTED_READING,,,ammax(ki)-guš-ga4-ra
|KI.SU.LU.EŠ₂.GAR.KI|,KI.SU.LU.EŠ2.GAR.KI,,NO_ATTESTED_READING,,,ammax(ki)-guš-eze-ege-ga4-ammax(ki)
|KI.SU.LU.EŠ₂.GAR.RA|,KI.SU.LU.EŠ2.GAR.RA,KI.SU.LU.EŠ2.GAR.RA|UGNIMX(|KI.SU.LU.EŠ2.GAR.RA|)|ugnimx(|KI.SU.LU.EŠ2.GAR.RA|),ATTESTED_DIRECT,SYLLABARY_CM,,ammax(ki)-guš-eze-ege-ga4-ra
|KI.SU.LU.EŠ₂.KI.GAR|,KI.SU.LU.EŠ2.KI.GAR,,NO_ATTESTED_READING,,,ammax(ki)-guš-eze-ege-ammax(ki)-ga4
|KI.SU.LU.EŠ₂|,KI.SU.LU.EŠ2,,NESTED_IN_LONGER_FORM,,KI.SU.LU.EŠ2.GAR; KI.SU.LU.EŠ2.GAR.RA,ammax(ki)-guš-eze-ege
|KI.SU.LU.GAR.EŠ₂|,KI.SU.LU.GAR.EŠ2,,NO_ATTESTED_READING,,,ammax(ki)-guš-eze-ga4-ege
|KI.SU.LU.GAR.KI|,KI.SU.LU.GAR.KI,,NO_ATTESTED_READING,,,ammax(ki)-guš-eze-ga4-ammax(ki)
|KI.SU.LU.GAR|,KI.SU.LU.GAR,KI.SU.LU.GAR|UGNIMX(|KI.SU.LU.GAR|)|ugnimx(|KI.SU.LU.GAR|),ATTESTED_DIRECT,SYLLABARY_CM,,ammax(ki)-guš-eze-ga4
|KI.SU.LU.KI.GAR|,KI.SU.LU.KI.GAR,KI.SU.LU.KI.GAR|UGNIMX(|KI.SU.LU.KI.GAR|)|ugnimx(|KI.SU.LU.KI.GAR|),ATTESTED_DIRECT,SYLLABARY_CM,,ammax(ki)-guš-eze-ammax(ki)-ga4
|KI.SU.LU.LAGAB×U.GAR|,KI.SU.LU.LAGAB×U.GAR,KI.SU.LU.LAGAB×U.GAR|UGNIMX(|KI.SU.LU.LAGAB×U.GAR|)|ugnimx(|KI.SU.LU.LAGAB×U.GAR|),ATTESTED_DIRECT,SYLLABARY_CM,,ammax(ki)-guš-eze-bu4-ga4
|KI.SU.LU.ŠU.GAR|,KI.SU.LU.ŠU.GAR,KI.SU.LU.ŠU.GAR|UGNIMX(|KI.SU.LU.ŠU.GAR|)|ugnimx(|KI.SU.LU.ŠU.GAR|),ATTESTED_DIRECT,SYLLABARY_CM,,ammax(ki)-guš-eze-kat7-ga4
|KI.SU.ZA.LU.EŠ₂|,KI.SU.ZA.LU.EŠ2,KI.SU.ZA.LU.EŠ2|UGNIMX(|KI.SU.ZA.LU.EŠ2|)|ugnimx(|KI.SU.ZA.LU.EŠ2|),ATTESTED_DIRECT,SYLLABARY_CM,,ammax(ki)-guš-sa3-eze-ege
|KI.U.U.U|,KI.U.U.U,,NO_ATTESTED_READING,,,ammax(ki)-ba₃
|KI.UD.A|,KI.UD.A,kilahha,ATTESTED_DIRECT,OSL,,ammax(ki)-a12-'u4
|KI.UD|,KI.UD,kankalₓ|kiŋalₓ|kislah|kizlah,ATTESTED_DIRECT,OSL,,ammax(ki)-a12
|KI.URU×MIN|,KI.URU×MIN,dagan?|daggan?|dakan|dakkan|suku₄,ATTESTED_DIRECT,OSL,,ammax(ki)-gal3
|KI.ŠEŠ.KAK.A|,KI.ŠEŠ.KAK.A,kissa,ATTESTED_DIRECT,DIRI,,ammax(ki)-ah2-ban4-'u4
|KID.MAH|,KID.MAH,amuru|muruₓ,ATTESTED_DIRECT,OSL,,buru6-al6
|KID.MA₂.MAH|,KID.MA2.MAH,kid-ma₂-mah,ATTESTED_DIRECT,DIRI,,buru6-hux(ma2)-al6
|KID.MA₂.ŠU₂.A|,KID.MA2.ŠU2.A,,NO_ATTESTED_READING,,,buru6-hux(ma2)-ešša2-'u4
|KID.MA₂.ŠU₂|,KID.MA2.ŠU2,kid-ma₂-šu₂-a,ATTESTED_DIRECT,DIRI,,buru6-hux(ma2)-ešša2
|KID.NUN|,KID.NUN,,NO_ATTESTED_READING,,,buru6-...ri
|KIN.KIN|,KIN.KIN,kenke,ATTESTED_DIRECT,OSL,,gur10-gur10
|KIN×UD|,KIN×UD,,NO_ATTESTED_READING,,,gur10-a12
|KISAL×PAP|,KISAL×PAP,,NO_ATTESTED_READING,,,bur6-aha3
|KISAL×UD|,KISAL×UD,,NO_ATTESTED_READING,,,bur6-a12
|KISIM₅×KAK|,KISIM5×KAK,,NESTED_IN_LONGER_FORM,,DAG.KISIM5×KAK; PA.DAG.KISIM5×KAK,kisim5-ban4
|KIŠ.AB@g|,KIŠ.AB@g,guduaₓ|nergalₓ,ATTESTED_DIRECT,OSL,,erraₓ-ab4
|KIŠ.ARAD|,KIŠ.ARAD,šagana,ATTESTED_DIRECT,OSL,,erraₓ-...ki
|KIŠ.PIRIG|,KIŠ.PIRIG,tidnumₓ,ATTESTED_DIRECT,OSL,,erraₓ-ne3
|KIŠ@g.ARAD|,KIŠ@g.ARAD,,NO_ATTESTED_READING,,,
|KIŠ×TIL|,KIŠ×TIL,,NO_ATTESTED_READING,,,erraₓ-sumun
|KU.AN.RA|,KU.AN.RA,metuₓ,ATTESTED_DIRECT,OSL,,be5-/dimer/-ra
|KU.AN|,KU.AN,medda|meddu|meṭa|meṭu|midda|middu|mitₓ|mitta|mittu|mitum|miṭa|%akk miṭṭu|miṭu,ATTESTED_DIRECT,OSL,,be5-/dimer/
|KU.ARAD|,KU.ARAD,,NO_ATTESTED_READING,,,be5-...ki
|KU.BU.NUN.TU.KU|,KU.BU.NUN.TU.KU,samanₓ,ATTESTED_DIRECT,OSL,,be5-bu-...ri-du2-be5
|KU.GAR|,KU.GAR,guza|guzza,ATTESTED_DIRECT,OSL,,be5-ga4
|KU.GIŠ%GIŠ|,KU.GIŠ%GIŠ,daraₓ?|dariₓ?|daruₓ?|duruₓ?,ATTESTED_DIRECT,OSL,,be5-adamen₃
|KU.IDIM|,KU.IDIM,medda₂|meddu₂|meṭa₂|meṭu₂|midda₂|middu₂|mitta₂|mittu₂|mitum₂|miṭa₂|miṭu₂,ATTESTED_DIRECT,OSL,,be5-ari2
|KU.KI.SAG|,KU.KI.SAG,zarahₓ,ATTESTED_DIRECT,OSL,,be5-ammax(ki)-dul7
|KU.KU.KU|,KU.KU.KU,ehₓ|eheh|ehehhe,ATTESTED_DIRECT,OSL,,be5-be5-be5
|KU.KU|,KU.KU,durunₓ|durunaₓ|eh₃,ATTESTED_DIRECT,OSL,,be5-be5
|KU.NU|,KU.NU,bula,ATTESTED_DIRECT,OSL,,be5-la3
|KUL.ŠA₃|,KUL.ŠA3,,NO_ATTESTED_READING,,,gu9-didala
|KUR.BAD|,KUR.BAD,,NESTED_IN_LONGER_FORM,,E2.KUR.BAD,amma-ba9
|KUR.MUŠ₃@g.ZA.KI|,KUR.MUŠ3@g.ZA.KI,%akk namru,ATTESTED_DIRECT,OSL,,amma-muš2-sa3-ammax(ki)
|KUR.MUŠ₃@g.ZA|,KUR.MUŠ3@g.ZA,|KUR.MUŠ₃@g.ZA|,ATTESTED_DIRECT,DIRI,,amma-muš2-sa3
|KUR.MUŠ₃|,KUR.MUŠ3,,NESTED_IN_LONGER_FORM,,KUR.MUŠ3@g.ZA.KI,amma-ennin
|KUR.RA|,KUR.RA,,NESTED_IN_LONGER_FORM,,ANŠE.KUR.RA; U2.KUR.RA,amma-ra
|KUR.SI.A.GA|,KUR.SI.A.GA,nenin,ATTESTED_DIRECT,OSL,,amma-hux(si)-'u4-ebir4
|KUR.TI|,KUR.TI,parsa,ATTESTED_DIRECT,OSL,,amma-de9
|KUR.ZA.KUR.ZI|,KUR.ZA.KUR.ZI,ganzerₓ,ATTESTED_DIRECT,OSL,,amma-sa3-amma-se2
|KUŠU₂.AN.MUŠ₃@g|,KUŠU2.AN.MUŠ3@g,,NO_ATTESTED_READING,,,kuš9-/dimer/-muš2
|KUŠU₂.HI×DIŠ|,KUŠU2.HI×DIŠ,ummaₓ,ATTESTED_DIRECT,OSL,,kuš9-as₆
|KUŠU₂.MUŠ₃|,KUŠU2.MUŠ3,uruhₓ,ATTESTED_DIRECT,OSL,,kuš9-ennin
|KUŠU₂×KASKAL|,KUŠU2×KASKAL,,NO_ATTESTED_READING,,,kuš9-bu2
|KU₃.AN|,KU3.AN,asaₓ|asag|aza₂|azag|azak|sagₓ,ATTESTED_DIRECT,OSL,,ku3-/dimer/
